Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), Latitude ;Longitude
22:02:37,196.09633878707874;536.3385812759384;651.6281200726954,866.4479526897495,13;13;13,43.116605;5.882431666666667 
22:02:41,71.08534366607677;1615.8591702397669;1146.5769401486803,1982.5974537996315,2;2;2,43.116605;5.882431666666667 
22:02:44,382.9700132624307;1480.372295875549;338.601840257649,1566.1479405471046,14;14;14,43.116605;5.882431666666667 
22:02:48,149.81031049410498;188.78903580347676;967.6427875327995,997.2045895573251,9;9;9,43.116605;5.882431666666667 
22:02:52,131.57821545600882;567.3765377457939;1144.3049425315762,1284.0026339027447,6;6;6,43.116605;5.882431666666667 
22:02:56,117.93001901308685;700.3738164774576;198.11831690788574,737.3478417178962,9;9;9,43.116605;5.882431666666667 
22:02:59,23.707584355672324;35.10186439196278;1355.9679565397876,1356.62938550013,1;1;1,43.116605;5.882431666666667 
22:03:03,86.15197989463807;771.7241434001919;205.3595299498383,803.214077122497,6;6;6,43.116605;5.882431666666667 
22:03:07,148.71670900662724;18.429741373062026;39.96383953411886,155.09166120442646,74;74;74,43.116605;5.882431666666667 
22:03:11,966.9631834157309;3413.480643806458;309.17809943833953,3561.244024339688,16;16;16,43.116605;5.882431666666667 
22:03:14,444.77096710522954;2579.4717183113103;222.03477041879262,2626.936428241565,10;10;10,43.116605;5.882431666666667 
22:03:18,505.0512287998199;2436.187477811178;649.6130003420362,2571.397134043977,11;11;11,43.116605;5.882431666666667 
22:03:22,229.64820700009648;614.3839439868925;145.87671198526488,671.9270382317414,20;20;20,43.116605;5.882431666666667 
22:03:25,74.50082197189323;1688.2650657590234;648.8517190329333,1810.192768195918,2;2;2,43.116605;5.882431666666667 
22:03:29,1110.879642791748;485.1544154198963;945.9609222380222,1537.618435754447,46;46;46,43.116605;5.882431666666667 
22:03:33,59.03889307339982;3101.783644704818;211.44728646275368,3109.542944615189,1;1;1,43.116605;5.882431666666667 
22:03:37,521.6634967772162;533.4549399534857;2013.2904109255403,2147.1015941392575,14;14;14,43.116605;5.882431666666667 
22:03:41,305.49763787587466;37.20053178469479;695.7550024414143,760.7809867071176,24;24;24,43.116605;5.882431666666667 
22:03:44,260.35820772171036;2758.5012648995717;514.0986924171518,2818.0512930615055,5;5;5,43.116605;5.882431666666667 
22:03:48,71.7612068430581;586.9316785971318;496.3410732809415,772.0057818268565,5;5;5,43.116605;5.882431666666667 
22:03:52,315.65304325103756;776.2849728647872;1849.601836172706,2030.5866529608556,9;9;9,43.116605;5.882431666666667 
22:03:55,411.2159814421337;119.80048906008345;60.214171752914325,432.5233948034972,72;72;72,43.116605;5.882431666666667 
22:03:59,2391.9913880507147;2376.6803437360127;658.0980759652543,3435.5967945029706,44;44;44,43.116605;5.882431666666667 
22:04:03,979.4018092282613;3191.2987297439554;601.6822053877586,3391.9960145414757,17;17;17,43.116605;5.882431666666667 
22:04:06,296.0056258773804;1066.0195361646006;1563.0077920818123,1914.9439522200412,9;9;9,43.116605;5.882431666666667 
22:04:10,598.574731149674;197.14941342353757;193.6709626261539,659.2935929831948,65;65;65,43.116605;5.882431666666667 
22:04:14,12.351960700353041;23.751852146783882;12.65435335790599,29.611721875846644,25;25;25,43.116605;5.882431666666667 
22:04:18,46.413843746185236;19.333801895776936;17.261944573741417,53.16028139040807,61;61;61,43.116605;5.882431666666667 
22:04:21,25.432781229019206;135.1208857250209;60.217289202981306,150.1019721359876,10;10;10,43.116605;5.882431666666667 
22:04:25,10.430987962086913;25.34673960685774;15.963838361148674,31.719187470424504,19;19;19,43.116605;5.882431666666667 
22:04:29,2.0438002713520156;79.72379783312489;48.60915209135186,93.3965241726175,1;1;1,43.116605;5.882431666666667 
22:04:32,10.894241043726625;104.17395879745492;117.25477932613337,157.22462101806093,4;4;4,43.116605;5.882431666666667 
22:04:36,24.68209925015769;40.82176179567942;64.2151071834558,79.99501390762141,18;18;18,43.116605;5.882431666666667 
22:04:40,49.889800583521534;92.55771631558777;2.10739625293499,105.16826598735595,28;28;28,43.116605;5.882431666666667 
22:04:44,28.44548498471582;26.73275791168239;48.34853326478239,62.13989564230117,27;27;27,43.116605;5.882431666666667 
22:04:47,10.525758444468108;7.999376900990008;19.032656218186617,23.173770179991468,27;27;27,43.116605;5.882431666666667 
