Time,AccelX[mm/s^2];AccelY[mm/s^2];AccelZ[mm/s^2],Total_axes acceleration, AngleX(deg); AngleY(deg);AngleZ(deg), DistanceX[mm];DistanceY[mm];DistanceZ[mm], Latitude ;Longitude
22:00:24,3.3737044747673695;2.3736264896394577;8.03616281196362,9.033044743372555,22;22;22,3.3737044747673694e-06;2.3736264896394577e-06;8.03616281196362e-06,43.11653666666666;5.882384999999999 
22:00:27,4.594497925440782;8.001870861053305;8.827995131747812,12.769997905638697,21;21;21,4.594497925440782e-06;8.001870861053306e-06;8.827995131747812e-06,43.11653666666666;5.882384999999999 
22:00:31,5.1986597506199494;12.51469159444174;19.114956900237345,23.431285628506128,13;13;13,5.19865975061995e-06;1.251469159444174e-05;1.9114956900237345e-05,43.11653666666666;5.882384999999999 
22:00:34,16.459512923558574;3.966019989647962;16.3566370710182,23.541122668897625,44;44;44,1.6459512923558573e-05;3.966019989647962e-06;1.63566370710182e-05,43.11653666666666;5.882384999999999 
22:00:37,4.312680438360417;0.18954096476153648;4.156807934471374,5.992844945835283,46;46;46,4.3126804383604165e-06;1.8954096476153648e-07;4.156807934471374e-06,43.11653666666666;5.882384999999999 
22:00:41,12.989790986378729;2.016990200678359;8.79245620084923,15.814872917076846,55;55;55,1.298979098637873e-05;2.016990200678359e-06;8.79245620084923e-06,43.11653666666666;5.882384999999999 
22:00:45,3.1567299493146237;10.483361123403201;0.9520692539606301,10.989642409146835,17;17;17,3.156729949314624e-06;1.04833611234032e-05;9.520692539606301e-07,43.11653666666666;5.882384999999999 
22:00:48,6.343387419383423;2.578131214776458;2.772660099711999,7.387351930261043,59;59;59,6.3433874193834225e-06;2.578131214776458e-06;2.772660099711999e-06,43.11653666666666;5.882384999999999 
22:00:51,5.401917495727659;8.833606541950978;9.943418769804424,14.355657212414437,22;22;22,5.401917495727659e-06;8.833606541950978e-06;9.943418769804425e-06,43.11653666666666;5.882384999999999 
22:00:55,10.880524263382373;15.15267785072194;31.097811511397566,36.26380199444375,17;17;17,1.0880524263382373e-05;1.515267785072194e-05;3.109781151139757e-05,43.11653666666666;5.882384999999999 
22:00:58,313.0194214248658;152.60666321436565;20.852623573915707,348.86212714551857,64;64;64,0.00031301942142486586;0.00015260666321436568;2.085262357391571e-05,43.11653666666666;5.882384999999999 
22:01:01,198.98621500968918;150.1881454435987;18.72652262053265,250.00535083299144,53;53;53,0.00019898621500968918;0.0001501881454435987;1.872652262053265e-05,43.11653666666666;5.882384999999999 
22:01:05,382.9961998430887;187.5420557721467;181.67065029463814,463.5324551268949,56;56;56,0.0003829961998430887;0.00018754205577214674;0.00018167065029463814,43.11653666666666;5.882384999999999 
22:01:08,47.24557942708345;83.24901038169763;6.605253225950847,95.94879819524466,30;30;30,4.724557942708345e-05;8.324901038169763e-05;6.605253225950847e-06,43.11653666666666;5.882384999999999 
22:01:11,86.784198770523;88.6459399573013;150.3041145865005,194.88695874477335,26;26;26,8.678419877052302e-05;8.86459399573013e-05;0.0001503041145865005,43.11653666666666;5.882384999999999 
22:01:15,138.37737407684347;87.5030827585841;62.393269357674086,175.2084678598542,52;52;52,0.00013837737407684347;8.75030827585841e-05;6.239326935767409e-05,43.11653666666666;5.882384999999999 
22:01:18,225.55125410715735;83.29078421274727;163.24215590158707,290.6178322599698,51;51;51,0.00022555125410715735;8.329078421274727e-05;0.0001632421559015871,43.11653666666666;5.882384999999999 
