lets start
wait 17:41:58.997106
wait 17:42:29.028194
wait 17:42:59.059412
wait 17:43:29.083495
wait 17:43:59.113471
wait 17:44:29.114883
wait 17:44:59.145857
wait 17:45:29.173513
wait 17:45:59.194465
wait 17:46:29.223534
wait 17:46:59.249728
wait 17:47:29.273470
wait 17:47:59.303494
wait 17:48:29.305293
wait 17:48:59.336204
wait 17:49:29.345338
wait 17:49:59.376355
wait 17:50:29.407518
wait 17:50:59.432696
wait 17:51:29.458361
wait 17:51:59.470556
wait 17:52:29.483520
wait 17:52:59.493788
wait 17:53:29.525177
wait 17:53:59.556249
wait 17:54:29.587407
wait 17:54:59.613516
wait 17:55:29.643476
wait 17:55:59.668205
wait 17:56:29.685322
wait 17:56:59.701537
wait 17:57:29.713509
wait 17:57:59.728998
wait 17:58:29.747711
wait 17:58:59.759898
wait 17:59:29.773541
wait 17:59:59.790830
wait 18:00:29.813541
wait 18:00:59.842560
wait 18:01:29.873752
wait 18:01:59.903503
wait 18:02:29.933514
wait 18:02:59.964448
wait 18:03:29.974464
wait 18:04:00.003482
wait 18:04:30.033314
wait 18:05:00.048777
wait 18:05:30.073490
wait 18:06:00.089761
wait 18:06:30.108550
wait 18:07:00.127790
wait 18:07:30.156134
wait 18:08:00.187111
wait 18:08:30.218082
wait 18:09:00.235897
wait 18:09:30.266950
wait 18:10:00.293466
wait 18:10:30.324423
wait 18:11:00.331078
wait 18:11:30.362161
wait 18:12:00.378651
wait 18:12:30.394136
wait 18:13:00.425162
wait 18:13:30.456148
wait 18:14:00.483552
wait 18:14:30.514229
wait 18:15:00.525112
wait 18:15:30.536973
wait 18:16:00.556260
wait 18:16:30.583488
wait 18:17:00.614514
wait 18:17:30.645611
wait 18:18:00.674528
wait 18:18:30.701370
wait 18:19:00.723491
wait 18:19:30.754519
wait 18:20:00.768218
wait 18:20:30.799296
wait 18:21:00.823712
wait 18:21:30.839205
wait 18:22:00.870199
wait 18:22:30.896428
wait 18:23:00.927519
wait 18:23:30.958507
wait 18:24:00.973480
wait 18:24:31.003521
wait 18:25:01.034714
wait 18:25:31.046279
wait 18:26:01.048375
wait 18:26:31.077176
wait 18:27:01.083505
wait 18:27:31.114649
wait 18:28:01.123590
wait 18:28:31.125678
wait 18:29:01.141084
wait 18:29:31.169960
wait 18:30:01.172411
wait 18:30:31.184274
wait 18:31:01.213476
wait 18:31:31.244508
wait 18:32:01.275550
wait 18:32:31.303518
wait 18:33:01.334707
wait 18:33:31.363981
wait 18:34:01.395159
wait 18:34:31.426470
wait 18:35:01.443761
wait 18:35:31.456000
wait 18:36:01.487180
wait 18:36:31.503122
wait 18:37:01.534210
wait 18:37:31.565190
wait 18:38:01.569666
wait 18:38:31.581757
wait 18:39:01.597191
wait 18:39:31.603479
wait 18:40:01.634474
wait 18:40:31.665633
wait 18:41:01.679216
wait 18:41:31.710438
wait 18:42:01.741495
